elife06,inspecQt,elife05,elife04,inspecKb2,elife03,inspecKb1,elife02,elife01,inspecArea,inspecKb3,avgnight,avgdaytime,inspecPoint,inspecYy
45,1,52,52,일반주거1,56,나,53,52,기장군기장읍동부리,일반,48,53,유한빌라앞,2019
48,1,51,53,일반주거1,50,나,50,49,기장군기장읍동부리,일반,49,50,제3기장교회앞,2019
50.1,1,48.6,55,일반주거1,60.6,나,56.3,52.8,기장군기장읍동부리,일반,49,56,유한빌라앞,2018
49.8,1,49.9,51.7,일반주거1,64,나,51.7,54.7,기장군기장읍동부리,일반,50,55,제3기장교회앞,2018
48.2,1,47.8,46,일반주거2,45.3,나,46.2,51.7,동래구사직2동,도로,48,47,사직로얄A입구건너편,2018
63.9,1,63.1,62.5,일반주거2,65.9,나,65.2,66.7,동래구사직2동,도로,63,65,종로엠스쿨앞,2018
55.9,1,54.2,57.6,일반주거2,56.1,나,57.1,55.6,동래구사직2동,일반,55,56,묵자골감자탕앞,2018
54,1,59,62,일반주거2,67,나,64,61,동래구사직2동,일반,56,63,사직주공안,2018
54.3,1,55.1,59.9,일반주거2,58.1,나,59.3,58.6,동래구사직2동,일반,54,59,하나메기탕앞,2018
65.5,1,68.2,70.9,일반주거3,70.5,나,73.4,72.8,북구덕천1동,도로,67,72,13동 시영APT입구,2018
71,1,72.3,73.1,일반주거3,72.7,나,73.3,74.9,북구덕천1동,도로,71,73,1동 시영APT입구,2018
50.6,1,49.6,56.6,일반주거3,59.8,나,56.5,57.5,북구덕천1동,일반,50,58,14동 시영APT뒤,2018
54.3,1,57.2,55,일반주거3,58.2,나,56.5,57.2,북구덕천1동,일반,55,56,미진골든빌라앞,2018
48.8,1,50.3,53.2,일반주거3,53.4,나,56.1,53.3,북구덕천1동,일반,49,53,시영A5동5~6라인앞,2018
66.2,1,68.3,67.2,상업,70.1,다,70.1,69.7,해운대구중1동,도로,67,69,메리어트호텔 우,2018
67.4,1,67.6,58.8,상업,70.2,다,69.6,70.1,해운대구중1동,도로,67,67,메리어트호텔 좌,2018
54.2,1,57.5,58.8,상업,53.7,다,53,53.6,해운대구중1동,일반,56,55,메리어트호텔 뒤,2018
54.7,1,57.9,59,상업,54.5,다,56.1,54.9,해운대구중1동,일반,56,56,파라다이스호텔 옆,2018
48.9,1,50.7,52.6,상업,55.3,다,55.2,54.3,해운대구중1동,일반,50,54,파라다이스호텔입구,2018
63.6,1,66.8,67.7,준공업,71.3,다,69.2,67.2,영도구남항동,도로,65,68,남항새마을금고,2018
62,1,67.9,69.2,준공업,70,다,69,71.5,영도구남항동,도로,65,70,카이스트안경앞,2018
38,1,54.8,57.1,준공업,62.6,다,57.9,64.9,영도구남항동,일반,46,60,㈜태림오릭스옆,2018
42.8,1,51.1,52,준공업,66.6,다,61.5,63.9,영도구남항동,일반,47,61,신한아파트앞,2018
42.6,1,48.6,52,준공업,63.4,다,59.2,61.7,영도구남항동,일반,46,59,하나전기앞,2018
46,2,58.4,64.7,녹지,62.6,가,61.3,63.2,부산진구개금2동백병원주변,도로,52,63,개금2동새마을금고앞,2018
47.8,2,64.6,61.2,녹지,61.8,가,61.4,64.3,부산진구개금2동백병원주변,도로,56,62,주원초등학교옆,2018
56.9,2,66.6,64.5,녹지,67.1,가,63.8,65.3,중구대청공원내,도로,62,65,방범초소앞,2018
54.6,2,59.4,59.3,녹지,60.1,가,61.4,60.4,중구대청공원내,도로,57,60,시민헌장앞,2018
53.1,2,59.9,59,녹지,60.3,가,58.3,58.2,중구대청공원내,일반,56,58,도서관앞,2018
42.4,2,42.4,52,녹지,46.9,가,45.9,47.7,중구대청공원내,일반,42,48,동상앞,2018
48.1,2,57.4,57.4,녹지,57.9,가,56.6,57,중구대청공원내,일반,52,57,충혼탑입구,2018
44.5,2,47.3,53.5,종합병원,52.5,가,51.6,57.2,부산진구개금2동백병원주변,일반,46,54,건강탕앞,2018
40.7,2,48.8,48.5,종합병원,49.7,가,56.6,54.1,부산진구개금3동백병원주변,일반,45,52,고원아파트1동107호앞,2018
43.3,2,48,51.8,종합병원,49.1,가,49.9,48.3,부산진구개금4동백병원주변,일반,45,49,하성약국옆,2018
63.3,2,70.2,67.9,일반주거1,70.3,나,67.3,66.8,기장군기장읍동부리,도로,66,68,기아자동차앞,2018
61.8,2,63.1,67.4,일반주거1,69.9,나,66,73,기장군기장읍동부리,도로,62,69,제비표페인트앞,2018
44.8,2,50.4,55.1,일반주거1,59.5,나,58.6,57.5,기장군기장읍동부리,일반,47,58,대진아파트앞,2018
55.4,2,53.1,55.2,일반주거1,57.7,나,53.9,49.7,기장군기장읍동부리,일반,54,54,유한빌라앞,2018
50.1,2,49,57.1,일반주거1,50.9,나,53.7,45.3,기장군기장읍동부리,일반,49,51,제3기장교회앞,2018
47.1,2,47,54.1,일반주거2,56.3,나,49.6,54.1,동래구사직2동,도로,47,53,사직로얄A입구건너편,2018
61.7,2,63.3,66.4,일반주거2,66,나,62.8,68.1,동래구사직2동,도로,62,65,종로엠스쿨앞,2018
53.3,2,58.1,61.4,일반주거2,54.8,나,53.9,55.5,동래구사직2동,일반,55,56,묵자골감자탕앞,2018
58.8,2,65.9,63.7,일반주거2,68.9,나,63,66.4,동래구사직2동,일반,62,65,사직주공안,2018
48.6,2,58.5,56.8,일반주거2,63.1,나,63.1,62.4,동래구사직2동,일반,54,61,하나메기탕앞,2018
67.3,2,69.8,73.1,일반주거3,73.6,나,72.7,73.2,북구덕천1동,도로,68,73,13동 시영APT입구,2018
70.3,2,73.1,72.4,일반주거3,73.5,나,74.9,75,북구덕천1동,도로,71,74,1동 시영APT입구,2018
52,2,62.3,59.4,일반주거3,52.9,나,52.1,54.2,북구덕천1동,일반,57,54,14동 시영APT뒤,2018
54.3,2,54.3,57.1,일반주거3,61.7,나,58.3,56.4,북구덕천1동,일반,54,58,미진골든빌라앞,2018
48.6,2,50.5,53.7,일반주거3,53.6,나,55.9,50.3,북구덕천1동,일반,50,53,시영A5동5~6라인앞,2018
67.8,2,68,69.4,상업,67.9,다,67,69.1,해운대구중1동,도로,68,68,메리어트호텔 우,2018
67,2,67.7,68.5,상업,68.8,다,68.8,70,해운대구중1동,도로,67,69,메리어트호텔 좌,2018
53.5,2,53.8,53.6,상업,55.2,다,53.9,53.8,해운대구중1동,일반,54,54,메리어트호텔 뒤,2018
42.4,1,51.2,52.3,녹지,56.7,가,54.8,55,부산진구개금2동백병원주변,도로,46,54,개금2동새마을금고앞,2018
42.7,1,58.4,57,녹지,67.1,가,61.2,64.4,부산진구개금2동백병원주변,도로,50,62,주원초등학교옆,2018
54.5,2,54.8,57.3,상업,58.2,다,57.1,56.2,해운대구중1동,일반,55,57,파라다이스호텔 옆,2018
61.6,2,52.1,54.9,상업,55.3,다,54.2,55.9,해운대구중1동,일반,57,55,파라다이스호텔입구,2018
57.4,2,63.9,68.9,준공업,69,다,68.7,70.7,영도구남항동,도로,60,69,남항새마을금고,2018
60.7,2,61.9,71.6,준공업,69.7,다,69.3,71.9,영도구남항동,도로,61,70,카이스트안경앞,2018
37.9,2,53.6,56.3,준공업,58.8,다,62.1,62.9,영도구남항동,일반,46,60,㈜태림오릭스옆,2018
40.2,2,55.3,59.1,준공업,63.1,다,62.1,63.3,영도구남항동,일반,47,61,신한아파트앞,2018
66,1,67.2,68.3,녹지,64.8,가,61.6,63.9,중구대청공원내,도로,66,64,방범초소앞,2018
64,1,62,68,녹지,68,가,67,69,중구대청공원내,도로,63,68,시민헌장앞,2018
49,1,57,57,녹지,60,가,65,60,중구대청공원내,일반,53,60,도서관앞,2018
41,1,45,47,녹지,51,가,59,50,중구대청공원내,일반,43,51,동상앞,2018
